epoch,accuracy,f1-score,loss,lr,prc,precision,recall,val_accuracy,val_f1-score,val_loss,val_prc,val_precision,val_recall
0,0.7717187404632568,"""[0.6413159, 0.8325842]""",0.4506595730781555,0.001,0.8670620322227478,0.7717187404632568,0.7717187404632568,0.9376357793807983,"""[0.92129976, 0.94835573]""",0.16547660529613495,0.9808273315429688,0.9376357793807983,0.9376357793807983
1,0.955740749835968,"""[0.94239664, 0.96406525]""",0.13082951307296753,0.001,0.9869353771209717,0.955740749835968,0.955740749835968,0.9497942924499512,"""[0.9314827, 0.9603823]""",0.1523398905992508,0.9830332398414612,0.9497942924499512,0.9497942924499512
2,0.9673032164573669,"""[0.95731145, 0.97350484]""",0.0964047908782959,0.001,0.9921088814735413,0.9673032164573669,0.9673032164573669,0.9687023162841797,"""[0.9594489, 0.9745172]""",0.09498848766088486,0.9913831949234009,0.9687023162841797,0.9687023162841797
3,0.9739930629730225,"""[0.9660379, 0.9789287]""",0.07854045927524567,0.001,0.9944055080413818,0.9739930629730225,0.9739930629730225,0.9728630185127258,"""[0.964768, 0.9779331]""",0.08891095221042633,0.991455614566803,0.9728630185127258,0.9728630185127258
4,0.9782407283782959,"""[0.9715737, 0.98237455]""",0.06639860570430756,0.001,0.9956330060958862,0.9782407283782959,0.9782407283782959,0.9714298844337463,"""[0.9623217, 0.9769918]""",0.09511863440275192,0.9910255670547485,0.9714298844337463,0.9714298844337463
5,0.9806365966796875,"""[0.9746895, 0.98432064]""",0.059049755334854126,0.001,0.996505081653595,0.9806365966796875,0.9806365966796875,0.9731404185295105,"""[0.9647815, 0.9782925]""",0.09201696515083313,0.9914930462837219,0.9731404185295105,0.9731404185295105
6,0.9831134080886841,"""[0.97791797, 0.98632973]""",0.051100801676511765,0.001,0.997206449508667,0.9831134080886841,0.9831134080886841,0.9680088758468628,"""[0.9572258, 0.9744499]""",0.11248933523893356,0.9883413910865784,0.9680088758468628,0.9680088758468628
7,0.9849073886871338,"""[0.9802517, 0.9877867]""",0.045474909245967865,0.001,0.9977089166641235,0.9849073886871338,0.9849073886871338,0.9754056930541992,"""[0.9680058, 0.98002553]""",0.09535335004329681,0.9908657073974609,0.9754056930541992,0.9754056930541992
8,0.9861284494400024,"""[0.9818433, 0.98877716]""",0.04123620688915253,0.001,0.9981319904327393,0.9861284494400024,0.9861284494400024,0.9756368398666382,"""[0.96791863, 0.98036146]""",0.09695017337799072,0.9907301068305969,0.9756368398666382,0.9756368398666382
9,0.9876736402511597,"""[0.9838688, 0.9900261]""",0.03637400269508362,0.001,0.9983636736869812,0.9876736402511597,0.9876736402511597,0.9780407547950745,"""[0.9711999, 0.9822556]""",0.09006979316473007,0.9919873476028442,0.9780407547950745,0.9780407547950745
